event,date,region,netplay,version,p1name,p1char1,p1char2,p1char3,p2name,p2char1,p2char2,p2char3,url
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Kai,PS,CE,BB,Skarmand,FU,PS,CE,https://youtu.be/viO1pGPn7tQ?t=1h51m13s
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,cR | SonicFox,FU,N,N,Fenster,PS,N,N,https://youtu.be/UJx_XgxwXSU?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,dekillsage,FU,CE,N,Duckator,VA,FI,DB,https://youtu.be/H365HM9794s?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Drewski,BB,CE,N,Skarmand,PS,CE,N,https://youtu.be/9Zv1pguKCPo?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Elda Taluda,PW,MF,CE,WingZero,PS,FI,N,https://youtu.be/WfqfRyCVXwY?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,FAROFA | Winnie,FI,DB,N,IGL | NCV,PW,PS,N,https://youtu.be/t0NPEf9o344?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Fenster,PS,N,N,Skarmand,FU,PS,N,https://youtu.be/eHoFWSlOFWI?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Fuzzy_Snugs,SQ,EL,N,Duckator,VA,FI,DB,https://youtu.be/AEymSrL9ZQ4?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,keninblack,PS,DB,N,Worldjem,PC,FU,FI,https://youtu.be/ayyDI0DPi7k?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,LazyDiablos,MF,EL,CE,Fuzzy_Snugs,SQ,EL,N,https://youtu.be/cQjqLcppF08?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Swiftfox-Dash,PC,CE,N,Cloud,VA,FI,DB,https://youtu.be/CtglN_qEqtU?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Swiftfox-Dash,PC,CE,N,Worldjem,PC,FU,FI,https://youtu.be/FIVwc7nO7D8?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,WingZero,PS,FI,N,FAROFA | Winnie,FI,DB,N,https://youtu.be/xUyQVyRxGpc?list=PLlJ7zgDywLTl21amS7dwlUK8t88E3JzDO
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Elda Taluda,PW,MF,CE,dekillsage,FU,CE,N,https://youtu.be/O2Q9Yf61F0Y?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,cR | SonicFox,FU,EL,N,Cloud,VA,FI,DB,https://youtu.be/mdTEJsl69Zw?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,Swiftfox-Dash,PC,CE,N,Skarmand,PS,FU,N,https://youtu.be/GGwnsZpjoZE?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
Combo Breaker 2015,2015-05-22,North America,0,Beowulf Patch,WingZero,PS,FI,N,Duckator,VA,FI,DB,https://youtu.be/NfRBcIO35k?list=PLxd-2FxFQ75ravBNrUsz2wcMiHlRcNhor
